      Common Core of Data Public Education Agency Universe 1994-95
                            (LRECL=1030)
            
             (*) Fields have one implied decimal place.

	     (+) Fields represent sub-fields of the fields immediately 
	      preceding them.  

**Please Note: "FIPS" stands for Federal Information Processing Standard (see State Codes
  and Abbreviations in the General Documentation)
                                    
The file contains  data for school year 1994-95 sorted by the NCES assigned local
education agency identification code (LEAID).

Name    Type   Position       Size           Description
IWH10U94   AN  970-970          1            D/O WHITE-10TH-UNKN ADJ FLAG
IUK10M94   AN  971-971          1            D/O UNKN RACE-10TH-MALE ADJ FLAG
IUK10F94   AN  972-972          1            D/O UNKN RACE-10TH-FEMALE ADJ FLAG
IUK10U94   AN  973-973          1            D/O UNKN RACE-10TH-UNKN SEX ADJ FLAG
IAM11M94   AN  974-974          1            D/O AMER IND/ALAS NAT-11TH-MALE ADJ FLAG
IAM11F94   AN  975-975          1            D/O AMER IND/ALAS NAT-11TH-FEMALE ADJ FLAG
IAM11U94   AN  976-976          1            D/O AMER IND/ALAS NAT-11TH-UNKN ADJ FLAG
IAS11M94   AN  977-977          1            D/O ASIAN/PAC ISL-11TH-MALE ADJ FLAG
IAS11F94   AN  978-978          1            D/O ASIAN/PAC ISL-11TH-FEMALE ADJ FLAG
IAS11U94   AN  979-979          1            D/O ASIAN/PAC ISL-11TH-UNKN ADJ FLAG
IHI11M94   AN  980-980          1            D/O HISPANIC-11TH-MALE ADJ FLAG
IHI11F94   AN  981-981          1            D/O HISPANIC-11TH-FEMALE ADJ FLAG
IHI11U94   AN  982-982          1            D/O HISPANIC-11TH-UNKN ADJ FLAG
IBL11M94   AN  983-983          1            D/O BLACK-11TH-MALE ADJ FLAG
IBL11F94   AN  984-984          1            D/O BLACK-11TH-FEMALE ADJ FLAG
IBL11U94   AN  985-985          1            D/O BLACK-11TH-UNKN ADJ FLAG
IWH11M94   AN  986-986          1            D/O WHITE-11TH-MALE ADJ FLAG
IWH11F94   AN  987-987          1            D/O WHITE-11TH-FEMALE ADJ FLAG
IWH11U94   AN  988-988          1            D/O WHITE-11TH-UNKN ADJ FLAG
IUK11M94   AN  989-989          1            D/O UNKN RACE-11TH-MALE ADJ FLAG
IUK11F94   AN  990-990          1            D/O UNKN RACE-11TH-FEMALE ADJ FLAG
IUK11U94   AN  991-991          1            D/O UNKN RACE-11TH-UNKN SEX ADJ FLAG
