        Common Core of Data Public Education Agency Universe 1996-97
                             (LRECL=1030)

             (*) Fields have one implied decimal place.

	     (+) Fields represent sub-fields of the fields immediately 
	      preceding them.  
          
**Please Note: "FIPS" stands for Federal Information Processing Standard (see State Codes
  and Abbreviations in the General Documentation)   
                                  
The file contains  data for school year 1996-97 sorted by the NCES assigned local
education agency identification code (LEAID).

Variable     Field	Record	     Data
 name	     length	position     type	Description

DAS11F96	5	602-606		N	DROPOUTS (ASIAN/PAC ISL-11TH-FEMALE)
DAS11U96	5	607-611		N	DROPOUTS (ASIAN/PAC ISL-11TH-UNKNOWN)
DHI11M96	5	612-616		N	DROPOUTS (HISPANIC-11TH-MALE)
DHI11F96	5	617-621		N	DROPOUTS (HISPANIC-11TH-FEMALE)
DHI11U96	5	622-626		N	DROPOUTS (HISPANIC-11TH-UNKNOWN)
DBL11M96	5	627-631		N	DROPOUTS (BLACK-11TH-MALE)
DBL11F96	5	632-636		N	DROPOUTS (BLACK-11TH-FEMALE)
DBL11U96	5	637-641		N	DROPOUTS (BLACK-11TH-UNKNOWN)
DWH11M96	5	642-646		N	DROPOUTS (WHITE-11TH-MALE)
DWH11F96	5	647-651		N	DROPOUTS (WHITE-11TH-FEMALE)
DWH11U96	5	652-656		N	DROPOUTS (WHITE-11TH-UNKNOWN)
DUK11M96	5	657-661		N	DROPOUTS (UNKNOWN-11TH-MALE)
DUK11F96	5	662-666		N	DROPOUTS (UNKNOWN-11TH-FEMALE)
DUK11U96	5	667-671		N	DROPOUTS (UNKNOWN-11TH-UNKNOWN)
DAM12M96	5	672-676		N	DROPOUTS (AMER IND/ALAS NAT-12TH-MALE)
DAM12F96	5	677-681		N	DROPOUTS (AMER IND/ALAS NAT-12TH-FEMALE)
DAM12U96	5	682-686		N	DROPOUTS (AMER IND/ALAS NAT-12TH-UNK)
DAS12M96	5	687-691		N	DROPOUTS (ASIAN/PAC ISL-12TH-MALE)
DAS12F96	5	692-696		N	DROPOUTS (ASIAN/PAC ISL-12TH-FEMALE)
DAS12U96	5	697-701		N	DROPOUTS (ASIAN/PAC ISL-12TH-UNKNOWN)
DHI12M96	5	702-706		N	DROPOUTS (HISPANIC-12TH-MALE)
DHI12F96	5	707-711		N	DROPOUTS (HISPANIC-12TH-FEMALE)
DHI12U96	5	712-716		N	DROPOUTS (HISPANIC-12TH-UNKNOWN)
DBL12M96	5	717-721		N	DROPOUTS (BLACK-12TH-MALE)
DBL12F96	5	722-726		N	DROPOUTS (BLACK-12TH-FEMALE)
DBL12U96	5	727-731		N	DROPOUTS (BLACK-12TH-UNKNOWN)
DWH12M96	5	732-736		N	DROPOUTS (WHITE-12TH-MALE)
DWH12F96	5	737-741		N	DROPOUTS (WHITE-12TH-FEMALE)
DWH12U96	5	742-746		N	DROPOUTS (WHITE-12TH-UNKNOWN)
DUK12M96	5	747-751		N	DROPOUTS (UNKNOWN-12TH-MALE)
DUK12F96	5	752-756		N	DROPOUTS (UNKNOWN-12TH-FEMALE)
DUK12U96	5	757-761		N	DROPOUTS (UNKNOWN-12TH-UNKNOWN)
PKTCH96		7*	762-768		N	PREKINDERGARTEN TEACHERS
KGTCH96		7*	769-775		N	KINDERGARTEN TEACHERS
