      Common Core of Data Public Education Agency Universe 1992-93
                            (LRECL=1030)
            
	     (*) Fields have one implied decimal place.

	     (+) Fields represent sub-fields of the fields immediately 
	      preceding them.  
          
**Please Note: "FIPS" stands for Federal Information Processing Standard (see State Codes
  and Abbreviations in the General Documentation) 
                                    
The file contains  data for school year 1992-93 sorted by the NCES assigned local
education agency identification code (LEAID).

Name    Type   Position       Size          Description
ELMTCH92   N   776-782         *7            ELEMENTARY TEACHERS (FTE)
SECTCH92   N   783-789         *7            SECONDARY TEACHERS (FTE)
UGTCH92    N   790-796         *7            TEACHERS OF UNGRADED CLASSES (FTE)
TOTTCH92   N   797-803         *7            TOTAL FTE TEACHERS (FTE)
AIDES92    N   804-810         *7            INSTRUCTIONAL AIDES (FTE)
CORSUP92   N   811-817         *7            INSTRUCTIONAL COORDINATORS/SUPERVISORS (FTE)
ELMGUI92   N   818-824         *7            ELEMENTARY GUIDANCE COUNSELORS (FTE)
SECGUI92   N   825-831         *7            SECONDARY GUIDANCE COUNSELORS (FTE)
TOTGUI92   N   832-838         *7            TOTAL GUIDANCE (FTE)
LIBSPE92   N   839-845         *7            LIBRARIANS/MEDIA SPECIALISTS (FTE)
LIBSUP92   N   846-852         *7            LIBRARY MEDIA SUPPORT STAFF (FTE)
LEAADM92   N   853-859         *7            LEA ADMINISTRATORS (FTE)
LEASUP92   N   860-866         *7            LEA ADMINISTRATORS SUPPORT STAFF (FTE)
SCHADM92   N   867-873         *7            SCHOOL ADMINISTRATORS (FTE)
SCHSUP92   N   874-880         *7            SCHOOL ADMINISTRATORS SUPPORT STAFF (FTE)
STUSUP92   N   881-887         *7            STUDENT SUPPORT SERVICES STAFF (FTE)
OTHSUP92   N   888-894         *7            ALL OTHER SUPPORT STAFF (FTE)
IUG92      AN  895-895          1            UNGRADED STUDENTS ADJ FLAG
IPK1292    AN  896-896          1            PK THRU 12 ADJ FLAG
IMEMB92    AN  897-897          1            STUDENTS ADJ FLAG
ISPEC92    AN  898-898          1            SPECIAL ED IEP STUDENTS ADJ FLAG
IREGD92    AN  899-899          1            REGULAR GRADUATES ADJ FLAG
IOTHD92    AN  900-900          1            OTHER DIPLOMA GRADUATES ADJ FLAG
IOTHC92    AN  901-901          1            OTHER HS COMPLETERS ADJ FLAG
IAM7M92    AN  902-902          1            D/O AMER IND/ALAS NAT-7TH-MALE ADJ FLAG
IAM7F92    AN  903-903          1            D/O AMER IND/ALAS NAT-7TH-FEMALE ADJ FLAG
IAM7U92    AN  904-904          1            D/O AMER IND/ALAS NAT-7TH-UNKN ADJ FLAG
IAS7M92    AN  905-905          1            D/O ASIAN/PAC ISL-7TH-MALE ADJ FLAG
IAS7F92    AN  906-906          1            D/O ASIAN/PAC ISL-7TH-FEMALE ADJ FLAG
IAS7U92    AN  907-907          1            D/O ASIAN/PAC ISL-7TH-UNKN ADJ FLAG
IHI7M92    AN  908-908          1            D/O HISPANIC-7TH-MALE ADJ FLAG
IHI7F92    AN  909-909          1            D/O HISPANIC-7TH-FEMALE ADJ FLAG
IHI7U92    AN  910-910          1            D/O HISPANIC-7TH-UNKN ADJ FLAG
IBL7M92    AN  911-911          1            D/O BLACK-7TH-MALE ADJ FLAG
IBL7F92    AN  912-912          1            D/O BLACK-7TH-FEMALE ADJ FLAG
IBL7U92    AN  913-913          1            D/O BLACK-7TH-UNKN ADJ FLAG
IWH7M92    AN  914-914          1            D/O WHITE-7TH-MALE ADJ FLAG
IWH7F92    AN  915-915          1            D/O WHITE-7TH-FEMALE ADJ FLAG
IWH7U92    AN  916-916          1            D/O WHITE-7TH-UNKN ADJ FLAG
IUK7M92    AN  917-917          1            D/O UNKN RACE-7TH-MALE ADJ FLAG
IUK7F92    AN  918-918          1            D/O UNKN RACE-7TH-FEMALE ADJ FLAG
IUK7U92    AN  919-919          1            D/O UNKN RACE-7TH-UNKN SEX ADJ FLAG
IAM8M92    AN  920-920          1            D/O AMER IND/ALAS NAT-8TH-MALE ADJ FLAG
IAM8F92    AN  921-921          1            D/O AMER IND/ALAS NAT-8TH-FEMALE ADJ FLAG
IAM8U92    AN  922-922          1            D/O AMER IND/ALAS NAT-8TH-UNKN ADJ FLAG
IAS8M92    AN  923-923          1            D/O ASIAN/PAC ISL-8TH-MALE ADJ FLAG
IAS8F92    AN  924-924          1            D/O ASIAN/PAC ISL-8TH-FEMALE ADJ FLAG
IAS8U92    AN  925-925          1            D/O ASIAN/PAC ISL-8TH-UNKN ADJ FLAG
IHI8M92    AN  926-926          1            D/O HISPANIC-8TH-MALE ADJ FLAG
IHI8F92    AN  927-927          1            D/O HISPANIC-8TH-FEMALE ADJ FLAG
IHI8U92    AN  928-928          1            D/O HISPANIC-8TH-UNKN ADJ FLAG
IBL8M92    AN  929-929          1            D/O BLACK-8TH-MALE ADJ FLAG
IBL8F92    AN  930-930          1            D/O BLACK-8TH-FEMALE ADJ FLAG
IBL8U92    AN  931-931          1            D/O BLACK-8TH-UNKN ADJ FLAG
IWH8M92    AN  932-932          1            D/O WHITE-8TH-MALE ADJ FLAG
IWH8F92    AN  933-933          1            D/O WHITE-8TH-FEMALE ADJ FLAG
IWH8U92    AN  934-934          1            D/O WHITE-8TH-UNKN ADJ FLAG
IUK8M92    AN  935-935          1            D/O UNKN RACE-8TH-MALE ADJ FLAG
IUK8F92    AN  936-936          1            D/O UNKN RACE-8TH-FEMALE ADJ FLAG
IUK8U92    AN  937-937          1            D/O UNKN RACE-8TH-UNKN SEX ADJ FLAG
IAM9M92    AN  938-938          1            D/O AMER IND/ALAS NAT-9TH-MALE ADJ FLAG
IAM9F92    AN  939-939          1            D/O AMER IND/ALAS NAT-9TH-FEMALE ADJ FLAG
IAM9U92    AN  940-940          1            D/O AMER IND/ALAS NAT-9TH-UNKN ADJ FLAG
IAS9M92    AN  941-941          1            D/O ASIAN/PAC ISL-9TH-MALE ADJ FLAG
IAS9F92    AN  942-942          1            D/O ASIAN/PAC ISL-9TH-FEMALE ADJ FLAG
IAS9U92    AN  943-943          1            D/O ASIAN/PAC ISL-9TH-UNKN ADJ FLAG
IHI9M92    AN  944-944          1            D/O HISPANIC-9TH-MALE ADJ FLAG
