"LEAID","NCESSCH","TR10","AM10","AS10","BL10","HI10","oth10","WH10","TR11","AM11","AS11","BL11","HI11","oth11","WH11","TR12","AM12","AS12","BL12","HI12","oth12","WH12","TR09","AM09","AS09","BL09","HI09","oth09","WH09","HP10","HP11","HP12","HP09","total_g10","total_g11","total_g12","total_g9","total_enroll","FRELCH","REDLCH","TOTFRL","lunch_total"
"4808940","480894007741",0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,2,0,4,8,NA,NA,NA,NA
"4808940","480894008060",0,0,0,0,0,0,0,2,0,0,4,29,63,28,9,0,0,8,66,142,59,0,0,0,0,0,0,0,0,0,0,0,NA,126,284,NA,410,64,5,69,69
"4808940","480894008389",0,0,0,0,3,9,6,0,0,0,0,1,3,2,0,0,0,0,2,2,0,0,0,0,1,13,17,3,0,0,0,0,18,6,4,34,62,5,0,5,5
"4808940","480894008937",8,0,19,48,534,681,71,16,1,18,49,484,633,65,8,0,24,46,455,582,49,18,0,16,55,621,784,74,1,0,0,0,1362,1266,1164,1568,5360,1387,286,1673,1673
"4808940","480894009076",1,0,0,4,11,22,6,0,0,0,5,7,14,2,0,0,0,1,7,10,2,1,0,0,3,20,28,4,0,0,0,0,44,28,20,56,148,69,5,74,74
"4808940","480894009077",0,0,0,2,9,12,1,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,1,4,15,20,0,0,0,0,0,24,4,2,40,70,23,0,23,23
"4808940","480894011354",8,0,7,6,63,100,16,5,0,1,9,61,95,19,4,0,1,2,28,47,12,4,0,2,11,80,122,24,0,0,0,1,200,190,94,244,728,346,90,436,436
"4808940","480894011844",4,0,1,82,116,206,3,1,2,0,81,123,212,5,6,0,0,58,113,182,5,3,0,1,67,130,204,3,0,0,0,0,412,424,364,408,1608,566,58,624,624
"4808940","480894011930",17,0,50,4,42,256,142,14,0,53,4,47,263,144,9,1,40,4,49,246,141,14,0,79,6,56,346,191,1,1,2,0,512,526,492,692,2222,52,26,78,78
"4808940","480894012013",0,0,2,21,87,112,2,1,1,1,27,114,148,4,2,2,3,18,102,133,6,2,0,1,17,137,160,3,0,0,0,0,224,296,266,320,1106,425,46,471,471
"4808940","480894012824",0,1,0,4,28,33,0,0,0,0,5,24,30,1,1,0,0,3,20,24,0,0,0,0,3,32,35,0,0,0,0,0,66,60,48,70,244,88,3,91,91
"4808940","480894012864",0,0,0,3,37,40,0,0,0,0,4,37,42,1,1,0,0,2,33,37,1,0,0,0,2,35,38,1,0,0,0,0,80,84,74,76,314,118,13,131,131
"4816230","481623001204",0,0,0,23,76,102,3,0,0,0,27,72,100,1,2,0,1,29,77,111,2,0,0,1,17,62,81,1,0,0,0,0,204,200,222,162,788,344,19,363,363
