"NCESSCH","LEAID","TYPE09","STATUS09","ULOCAL09","FTE09","LEVEL09","FRELCH09","REDLCH09","TOTFRL09","MEMBER09","G0909","G1009","G1109","G1209","AM09","AS09","HI09","BL09","WH09","HP09","TR09","AM10","AS10","HI10","BL10","WH10","HP10","TR10","AM11","AS11","HI11","BL11","WH11","HP11","TR11","AM12","AS12","HI12","BL12","WH12","HP12","TR12","ASIAN","HISP","BLACK","WHITE"
"062271002857","0622710","1","1","11",97.58,"3",1618,272,1890,2690,898,665,494,631,1,25,737,57,67,7,4,0,29,520,60,51,3,2,1,25,344,56,67,1,0,2,48,440,59,74,2,6,127,2041,232,259
"062271002890","0622710","1","1","11",75.6,"3",1139,145,1284,1860,675,504,389,290,1,24,566,38,37,3,6,2,17,431,16,34,1,3,6,28,311,17,26,0,1,1,21,214,18,33,0,3,90,1522,89,130
"062271002899","0622710","1","1","13",123.43,"3",1458,286,1744,3460,1168,922,748,617,4,45,640,200,35,64,180,7,199,471,152,24,43,26,4,199,315,157,28,34,11,2,212,247,105,15,22,14,655,1673,614,102
"062271002908","0622710","4","1","11",30,"3",422,24,446,553,155,138,134,126,7,2,124,19,2,0,1,6,0,106,23,2,0,1,5,1,106,19,2,0,1,4,3,101,18,0,0,0,6,437,79,6
"062271002916","0622710","1","1","11",108.27,"3",1350,260,1610,3129,738,853,828,704,6,77,424,68,133,1,29,6,150,438,74,172,5,8,5,160,389,81,179,4,10,1,173,308,57,158,0,7,560,1559,280,642
"062271002918","0622710","4","1","11",3,"3",29,0,29,62,10,25,24,3,0,0,5,5,0,0,0,0,0,10,12,3,0,0,1,0,12,10,1,0,0,0,0,3,0,0,0,0,0,30,27,4
"062271002923","0622710","1","1","11",134.03,"3",2134,273,2407,3861,1217,1023,882,736,3,116,846,66,142,2,42,3,149,669,47,140,5,10,4,150,551,65,100,0,12,3,165,392,38,129,0,9,580,2458,216,511
"062271002941","0622710","1","1","11",100.18,"3",1219,70,1289,1788,514,512,417,342,2,1,169,335,0,1,6,1,3,171,335,1,0,1,1,0,140,272,0,1,3,1,4,95,239,3,0,0,8,575,1181,4
"062271002953","0622710","4","2","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
"062271002965","0622710","1","1","11",85.09,"3",1055,78,1133,1681,549,444,397,287,1,3,235,300,3,1,6,1,0,204,238,0,0,1,1,1,157,235,1,1,1,0,1,118,167,0,1,0,5,714,940,4
"062271002970","0622710","1","1","11",115.35,"3",1733,329,2062,3016,705,588,507,460,2,107,518,11,34,1,32,3,116,407,8,44,1,9,4,110,340,9,36,1,7,0,115,297,3,34,2,9,448,1562,31,148
"062271002971","0622710","4","1","13",4,"3",45,8,53,102,13,39,32,18,0,0,9,4,0,0,0,1,1,28,5,2,1,1,0,0,26,5,0,0,1,0,1,12,1,1,3,0,2,75,15,3
"062271002972","0622710","4","1","11",3,"3",62,6,68,113,8,17,21,67,0,0,5,2,1,0,0,0,0,15,1,1,0,0,0,0,14,3,4,0,0,0,0,61,2,4,0,0,0,95,8,10
"062271002976","0622710","4","1","11",4,"3",48,3,51,89,16,23,15,35,0,0,16,0,0,0,0,0,0,22,0,1,0,0,0,0,12,0,3,0,0,0,0,33,0,1,0,1,0,83,0,5
"062271002977","0622710","1","1","11",119.6,"3",655,164,819,3513,956,900,897,754,6,102,246,59,501,2,40,10,99,220,82,475,4,10,3,133,242,51,456,1,11,7,116,160,59,404,3,5,450,868,251,1836
"062271002983","0622710","1","1","21",122.43,"4",1992,122,2114,2117,188,188,141,184,0,0,184,2,2,0,0,0,2,184,1,1,0,0,0,0,140,0,1,0,0,0,0,182,1,1,0,0,2,690,4,5
"062271002984","0622710","4","1","21",5,"3",63,7,70,120,19,34,35,32,0,0,5,14,0,0,0,0,0,7,27,0,0,0,1,0,8,25,1,0,0,0,0,13,18,0,0,1,0,33,84,1
"062271002995","0622710","4","1","11",4,"3",52,3,55,78,6,24,28,20,0,0,6,0,0,0,0,0,0,22,1,0,0,1,0,0,27,0,0,0,1,0,0,20,0,0,0,0,0,75,1,0
"062271002998","0622710","1","1","11",106.86,"3",1669,267,1936,2512,766,663,503,574,1,110,424,153,56,0,22,2,137,344,119,56,0,5,1,128,252,78,40,1,3,2,141,300,100,29,1,1,516,1320,450,181
"062271003017","0622710","1","1","11",133.32,"4",2363,183,2546,2837,150,152,149,161,0,1,135,13,0,0,1,0,0,136,16,0,0,0,0,0,136,13,0,0,0,0,2,147,12,0,0,0,3,554,54,0
"062271003020","0622710","1","1","11",154.58,"3",2316,194,2510,3139,871,592,793,883,3,36,791,9,20,8,4,2,34,535,9,12,0,0,4,32,714,10,26,3,4,3,36,807,9,25,1,2,138,2847,37,83
"062271003021","0622710","1","1","11",99,"3",1731,221,1952,2514,895,616,559,440,7,17,822,10,15,0,24,4,24,566,10,8,0,4,0,40,497,12,7,0,3,1,33,391,4,8,1,2,114,2276,36,38
"062271003023","0622710","1","1","11",209.88,"3",3720,114,3834,4470,2052,1148,794,470,5,1,1853,185,5,0,3,0,0,1046,99,3,0,0,0,0,728,64,0,0,2,2,1,431,36,0,0,0,2,4058,384,8
"062271003029","0622710","1","1","11",93.74,"4",1731,100,1831,1910,267,277,53,86,0,18,235,2,10,1,1,0,14,243,6,10,0,4,0,4,43,2,3,0,1,0,9,71,3,3,0,0,45,592,13,26
"062271003034","0622710","1","1","11",109.03,"3",1705,186,1891,2806,1039,760,608,393,4,25,653,325,9,8,15,7,35,472,218,13,9,6,1,34,356,207,3,6,1,5,24,224,131,4,4,1,118,1705,881,29
"062271003037","0622710","1","1","21",200.32,"3",3658,120,3778,4271,1532,1194,811,727,2,1,1519,3,6,0,1,3,2,1181,3,3,1,1,1,4,803,1,2,0,0,1,1,723,1,1,0,0,8,4226,8,12
