"NCESSCH","LEAID","TYPE07","STATUS07","ULOCAL07","FTE07","LEVEL07","FRELCH07","REDLCH07","TOTFRL07","MEMBER07","G0907","G1007","G1107","G1207","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12","ASIAN","HISP","BLACK","WHITE"
"120018003827","1200180","4","1","21",NA,"4",4,0,4,7,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"120018004037","1200180","1","1","21",130,"3",508,199,707,2473,686,632,597,558,5,28,169,147,311,1,28,160,140,272,0,34,113,144,292,1,18,133,109,284,108,575,540,1159
"120018004050","1200180","1","1","21",113,"3",470,220,690,2209,611,584,535,479,3,15,165,87,316,0,15,160,96,297,0,19,150,68,277,0,18,115,79,260,67,590,330,1150
"120018004052","1200180","1","1","41",168.5,"3",462,219,681,3626,991,883,925,827,0,74,411,257,224,0,52,418,211,185,0,55,396,281,172,2,60,337,232,170,241,1562,981,751
"120018004057","1200180","4","1","21",2,"3",21,0,21,24,5,7,5,2,0,0,0,3,2,0,0,1,3,3,0,0,0,1,4,0,0,0,1,1,0,1,8,10
"120018004058","1200180","1","1","21",NA,"4",0,1,1,174,43,31,32,53,0,1,9,6,26,0,0,8,3,19,0,0,5,2,25,0,1,9,5,36,2,31,16,106
"120018004318","1200180","1","1","21",NA,"3",108,107,215,1705,437,457,438,373,0,20,166,104,125,0,24,194,77,149,0,13,189,74,152,0,21,165,72,110,78,714,327,536
"120018004463","1200180","1","1","21",NA,"3",3,0,3,25,7,9,9,0,0,0,6,1,0,0,1,4,2,1,0,0,5,2,2,0,0,0,0,0,1,15,5,3
"120018005457","1200180","4","1","12",NA,"3",113,14,127,347,98,80,81,88,0,0,9,83,5,0,0,8,63,9,0,0,9,53,17,0,0,23,50,13,0,49,249,44
"120018005464","1200180","4","1","21",NA,"3",235,25,260,825,187,263,209,166,1,1,22,142,16,1,0,31,193,36,0,1,29,148,29,0,2,26,113,25,4,108,596,106
"120018007300","1200180","1","3","21",NA,"4",7,3,10,52,7,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
"120018007402","1200180","1","3","21",NA,"3",214,16,230,434,163,137,75,59,0,0,4,153,1,0,1,0,132,3,0,0,0,73,1,0,0,1,56,2,1,5,414,7
"120039000557","1200390","1","1","21",57.5,"4",469,67,536,746,208,5,6,22,0,1,19,185,2,0,0,0,5,0,0,1,0,5,0,0,0,4,17,1,2,23,212,3
"120039000580","1200390","1","1","21",47.5,"4",324,133,457,698,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,1,0
"120039000589","1200390","1","1","21",137.5,"3",1080,328,1408,2689,757,733,544,655,1,13,527,179,29,2,11,488,200,28,0,12,338,157,36,0,12,402,198,35,48,1755,734,128
"120039000590","1200390","1","1","21",176,"3",1240,318,1558,3498,961,1010,847,680,1,4,755,97,94,0,8,810,114,74,0,5,687,77,71,1,13,543,61,58,30,2795,349,297
"120039000591","1200390","1","1","21",198,"3",1864,491,2355,3786,957,1094,919,816,0,3,900,32,21,1,2,1004,63,23,0,4,858,32,23,0,4,752,38,21,13,3514,165,88
"120039000592","1200390","1","1","21",158.5,"3",1236,266,1502,2574,725,617,659,573,1,4,464,226,28,0,6,426,165,19,1,5,472,157,22,0,2,385,160,23,17,1747,708,92
"120039000593","1200390","1","1","21",149.5,"3",1596,231,1827,2527,846,848,480,353,1,3,440,337,52,1,7,440,352,43,0,4,253,195,25,0,4,182,146,20,18,1315,1030,140
"120039000594","1200390","1","1","13",118.5,"3",824,169,993,1963,580,526,471,386,0,9,425,39,95,2,8,351,57,102,1,5,344,33,82,0,3,278,29,75,25,1398,158,354
"120039000595","1200390","1","1","21",138.5,"3",1267,202,1469,2469,644,627,663,535,0,0,80,552,4,0,0,67,550,6,0,1,62,596,4,0,3,47,481,1,4,256,2179,15
"120039000596","1200390","1","1","21",146,"3",1289,205,1494,2086,611,491,430,554,0,0,117,488,3,0,1,104,384,2,0,0,71,352,4,0,1,90,460,3,2,382,1684,12
"120039000598","1200390","4","1","41",32,"4",127,10,137,174,31,35,17,8,0,0,7,24,0,0,0,3,29,3,0,0,4,13,0,0,0,0,8,0,0,14,74,3
"120039000599","1200390","1","1","21",181,"3",1163,374,1537,3616,933,970,896,817,1,7,855,30,37,1,7,890,24,42,0,3,835,11,44,0,6,762,13,31,23,3342,78,154
"120039000600","1200390","1","1","11",83.5,"3",735,55,790,1150,352,321,256,221,0,0,33,314,1,0,1,29,291,0,0,0,34,220,1,0,0,18,203,0,1,114,1028,2
"120039000601","1200390","1","1","11",111.5,"3",991,86,1077,1555,431,435,378,311,0,0,239,187,4,0,0,265,166,4,0,1,197,176,2,0,1,167,141,2,2,868,670,12
"120039000602","1200390","1","1","13",159.5,"3",769,209,978,3415,887,983,765,780,1,14,516,195,143,0,18,522,198,214,1,21,399,156,169,1,25,393,143,206,78,1830,692,732
"120039000603","1200390","1","1","21",129,"3",903,193,1096,1852,497,577,385,393,0,2,25,461,6,0,0,26,543,4,1,0,14,367,1,1,1,16,373,1,3,81,1744,12
"120039000604","1200390","1","1","11",164,"3",1358,121,1479,2442,743,756,543,400,0,0,40,701,1,0,2,50,700,1,0,0,31,507,0,0,0,20,380,0,2,141,2288,2
"120039000605","1200390","1","1","21",163,"3",418,79,497,3311,866,848,761,836,1,32,302,167,344,1,36,277,169,347,2,40,263,127,316,3,54,311,132,323,162,1153,595,1330
"120039000606","1200390","1","1","11",166,"3",1898,354,2252,3124,798,1005,751,570,0,6,758,23,11,1,4,935,48,17,0,5,683,45,16,0,2,523,25,20,17,2899,141,64
"120039000607","1200390","1","1","21",126.5,"3",1003,195,1198,2742,528,567,786,861,0,2,390,89,43,0,4,429,93,40,1,2,656,76,47,0,1,720,85,52,9,2195,343,182
"120039000608","1200390","1","1","21",150,"3",949,342,1291,3044,718,802,784,740,0,13,567,42,79,2,12,634,56,89,0,12,614,51,95,0,12,590,47,82,49,2405,196,345
"120039000609","1200390","1","1","21",144.5,"3",1108,233,1341,2834,784,752,736,562,2,18,178,554,25,4,23,163,526,28,1,24,166,500,36,1,32,123,369,32,97,630,1949,121
"120039000610","1200390","1","1","21",148.5,"3",1124,129,1253,2823,767,861,650,545,1,6,122,617,9,0,9,122,713,12,0,5,101,533,9,2,13,86,436,7,33,431,2299,37
"120039000611","1200390","4","1","13",32,"4",102,11,113,179,33,43,16,14,0,0,22,9,2,0,0,18,22,3,0,1,9,6,0,0,0,6,4,3,1,55,41,8
"120039000612","1200390","1","1","21",133.5,"3",1343,222,1565,2592,885,828,470,409,1,4,537,219,116,0,3,496,206,115,0,7,264,109,87,0,6,212,91,97,20,1509,625,415
"120039000613","1200390","1","1","21",135,"3",1132,309,1441,2688,779,720,595,594,0,4,654,56,60,0,3,602,57,49,0,7,502,51,32,2,5,493,41,51,19,2251,205,192
"120039000614","1200390","1","1","21",199,"3",1658,297,1955,3459,929,974,781,775,2,14,470,355,72,2,10,458,420,67,2,3,390,306,74,3,10,375,299,81,37,1693,1380,294
"120039000615","1200390","1","1","21",156.5,"3",1053,389,1442,3038,846,873,673,646,1,7,726,25,79,0,4,771,21,75,0,8,596,10,52,0,6,577,14,48,25,2670,70,254
"120039000616","1200390","4","1","21",19.5,"4",33,1,34,47,9,10,7,0,0,0,0,9,0,0,0,2,8,0,0,0,0,7,0,0,0,0,0,0,0,2,24,0
"120039000617","1200390","4","1","21",23,"4",122,6,128,144,23,32,39,38,0,0,10,13,0,0,0,9,22,1,0,0,6,33,0,0,0,6,32,0,0,31,100,1
"120039000618","1200390","4","1","21",25.5,"4",107,7,114,134,23,36,41,24,0,0,13,9,1,0,0,12,21,2,0,0,14,23,4,0,0,12,11,1,0,51,64,8
"120039001443","1200390","1","1","13",7,"3",8,5,13,182,NA,NA,90,92,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,6,53,10,19,0,6,51,8,25,4,96,10,36
