"NCESSCH","LEAID","TYPE","STATUS","ULOCAL","FTE","LEVEL","FRELCH","REDLCH","TOTFRL","MEMBER","G09","G10","G11","G12","AM09","AS09","HI09","BL09","WH09","HP09","TR09","AM10","AS10","HI10","BL10","WH10","HP10","TR10","AM11","AS11","HI11","BL11","WH11","HP11","TR11","AM12","AS12","HI12","BL12","WH12","HP12","TR12","ASIAN","HISP","BLACK","WHITE"
"010039001288","0100390","4","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,-8,-8,-8
"010039001296","0100390","2","1","12",NA,"4",NA,NA,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"010039001316","0100390","3","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
"010039001468","0100390","1","1","12",49.5,"3",739,44,783,902,343,189,166,204,0,0,30,310,2,0,1,0,0,7,181,1,0,0,0,1,11,153,1,0,0,0,0,10,192,1,1,0,1,58,836,5
"010039001629","0100390","2","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,-8,-8,-8
"010039001746","0100390","4","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
"010039001761","0100390","4","1","12",NA,"3",17,0,17,20,6,9,4,0,0,0,0,5,1,0,0,0,0,0,7,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,2
"010039001765","0100390","2","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,-8,-8,-8
"010039001866","0100390","4","1","12",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
"010237000898","0102370","1","1","12",41,"3",673,29,702,780,246,200,171,163,0,0,8,234,4,0,0,0,1,1,193,4,0,1,0,0,1,167,3,0,0,0,0,3,155,5,0,0,1,13,749,16
"010237000899","0102370","1","1","21",130,"3",929,117,1046,2518,732,663,582,541,2,17,28,230,452,2,1,1,18,15,218,408,0,3,3,15,12,177,373,0,2,2,14,15,166,342,0,2,64,70,791,1575
"010237000900","0102370","1","1","41",54,"3",820,30,850,984,308,242,200,234,0,0,1,304,3,0,0,0,0,0,240,2,0,0,0,0,0,196,3,0,1,0,0,1,231,2,0,0,0,2,971,10
"010237000906","0102370","1","1","42",46,"3",525,51,576,827,242,205,197,183,47,0,6,48,140,1,0,39,2,0,43,119,0,2,32,1,2,53,108,0,1,38,0,5,38,100,0,2,3,13,182,467
"010237000912","0102370","1","1","12",87,"3",849,80,929,1533,491,407,338,297,2,12,18,325,133,1,0,2,27,17,249,107,2,3,3,33,19,187,95,0,1,1,22,13,180,80,0,1,94,67,941,415
"010237000929","0102370","1","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
"010237000934","0102370","1","1","21",108,"3",999,123,1122,2093,665,519,477,432,6,2,15,116,523,0,3,3,6,17,79,410,0,4,5,6,3,75,387,0,1,5,4,5,81,336,0,1,18,40,351,1656
"010237000942","0102370","1","1","12",124,"3",1345,101,1446,2185,647,582,504,452,2,9,14,502,119,0,1,1,7,10,423,138,0,3,0,10,9,358,125,0,2,1,11,10,292,136,0,2,37,43,1575,518
"010237000953","0102370","1","1","21",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
"010237000962","0102370","1","1","12",59,"3",834,39,873,1044,397,239,213,195,0,0,0,393,3,0,1,0,0,0,237,1,0,1,1,0,0,212,0,0,0,0,0,0,194,1,0,0,0,0,1036,5
"010237000964","0102370","1","1","21",45,"3",650,18,668,773,257,163,180,173,1,0,0,253,3,0,0,0,0,0,162,1,0,0,0,0,1,178,1,0,0,0,0,0,172,1,0,0,0,1,765,6
"010237000969","0102370","1","1","12",38,"3",607,11,618,653,232,154,115,152,0,0,1,227,3,0,1,0,0,0,154,0,0,0,0,0,2,113,0,0,0,1,0,1,149,0,0,1,0,4,643,3
"010237000989","0102370","1","1","41",90,"3",920,107,1027,1689,540,429,353,367,3,29,9,77,413,0,9,2,36,12,50,326,0,3,0,31,11,40,266,0,5,2,41,1,41,280,0,2,137,33,208,1285
"010237001000","0102370","4","1","12",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
"010237001083","0102370","3","1","21",15,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,-8,-8,-8
"010237001086","0102370","3","1","41",13,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,-8,-8,-8
"010237001586","0102370","4","1","41",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
"010237001600","0102370","2","1","41",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,-8,-8,-8
"010237001605","0102370","2","1","12",NA,"4",44,0,44,54,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"010237001618","0102370","2","1","12",43,"4",180,15,195,267,20,21,20,83,0,0,0,14,5,0,1,0,0,0,18,3,0,0,0,0,0,13,7,0,0,0,1,0,58,24,0,0,1,0,103,39
"010237001625","0102370","2","1","12",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
"010237001686","0102370","4","1","12",15,"4",24,0,24,34,8,4,6,3,0,0,0,5,3,0,0,0,0,0,3,1,0,0,0,0,0,4,2,0,0,0,0,0,3,0,0,0,0,0,15,6
"010237001688","0102370","1","1","21",92,"3",881,98,979,1630,507,395,380,348,4,11,9,124,353,3,3,2,13,16,95,269,0,0,3,8,14,88,265,0,2,2,13,11,63,255,2,2,45,50,370,1142
"010237002161","0102370","4","1","12",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-16,-16,-16,-16
"010237002177","0102370","4","1","12",NA,"3",60,4,64,100,NA,2,32,66,-4,-4,-4,-4,-4,-4,-4,0,0,0,1,1,0,0,1,1,0,26,4,0,0,0,1,1,43,19,0,2,NA,-3,66,20
"061455001711","0614550","1","1","11",103.2,"3",1071,176,1247,2635,702,716,649,568,5,37,330,92,224,4,10,6,46,313,91,246,2,12,4,40,272,85,237,3,8,3,35,214,68,239,3,6,158,1129,336,946
"061455001720","0614550","4","1","11",12.3,"3",145,21,166,193,0,1,33,159,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,3,4,0,1,0,7,103,36,10,1,2,7,129,39,14
"061455001723","0614550","1","1","11",77.88,"3",1579,232,1811,2310,691,612,554,453,3,74,423,116,70,1,4,3,81,370,99,50,2,7,3,74,315,111,48,0,3,3,92,222,84,49,3,0,321,1330,410,217
"061455001730","0614550","1","1","11",96.38,"3",1409,614,2023,2330,709,615,525,481,4,39,505,73,80,2,6,3,34,449,59,62,1,7,0,49,372,41,60,0,3,3,44,325,36,64,3,6,166,1651,209,266
"061455001737","0614550","1","1","11",78.5,"3",1335,167,1502,1886,590,449,398,449,6,72,330,72,99,5,6,3,52,239,50,96,3,6,3,54,222,55,58,1,5,3,63,228,49,100,2,4,241,1019,226,353
"061455001754","0614550","1","1","11",80.93,"3",1576,189,1765,1921,487,528,470,436,2,80,351,28,21,3,2,4,96,368,33,24,0,3,6,87,309,33,33,0,2,3,113,262,32,18,3,5,376,1290,126,96
"061455001762","0614550","1","1","11",92.58,"3",1381,383,1764,2143,658,539,482,464,5,56,523,41,27,3,3,6,56,429,24,21,2,1,2,48,387,23,21,0,1,1,56,360,17,27,1,2,216,1699,105,96
"061455001986","0614550","4","1","11",18.25,"3",311,45,356,434,0,15,181,238,0,0,0,0,0,0,0,0,2,8,4,1,0,0,1,21,130,20,5,0,4,0,24,170,34,8,0,2,47,308,58,14
"061455003024","0614550","2","1","11",NA,"4",19,0,19,24,3,2,5,9,0,0,1,0,2,0,0,0,0,0,0,2,0,0,1,0,2,1,0,0,1,0,0,6,0,3,0,0,0,9,1,7
"061455005749","0614550","4","1","11",32,"4",754,163,917,1094,27,183,353,529,0,0,25,2,0,0,0,1,7,137,17,19,1,1,6,18,250,41,36,0,2,4,38,380,29,70,0,8,63,792,89,125
"061455007497","0614550","1","1","11",11,"3",152,13,165,174,15,22,40,97,0,0,12,0,3,0,0,1,0,16,4,1,0,0,0,2,31,4,3,0,0,2,4,75,12,4,0,0,6,134,20,11
"061455007962","0614550","1","1","11",NA,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"061455007963","0614550","1","1","11",120.08,"3",1741,635,2376,3096,811,869,717,699,4,156,562,57,29,1,2,2,191,566,82,22,0,6,3,200,419,70,24,0,1,3,212,398,43,34,2,7,759,1945,252,109
"061455007964","0614550","2","1","11",8,"3",21,23,44,57,7,14,12,14,0,1,5,1,0,0,0,0,0,11,0,2,0,1,0,1,5,2,4,0,0,0,0,10,1,3,0,0,2,31,4,9
"061455008697","0614550","1","1","11",10.87,"3",330,7,337,368,110,122,61,55,1,2,89,12,5,0,1,0,3,82,23,12,0,2,1,5,39,9,7,0,0,0,2,47,4,2,0,0,12,257,48,26
"061455008841","0614550","1","1","11",42.85,"3",634,219,853,1053,343,274,229,207,1,89,222,13,14,2,2,0,78,168,12,13,0,3,1,67,140,7,13,0,1,1,94,104,0,8,0,0,328,634,32,48
"061455010775","0614550","1","1","11",14.05,"4",195,58,253,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"061455010779","0614550","4","1","11",10.13,"3",120,72,192,250,62,58,50,80,0,11,33,2,15,1,0,0,4,38,5,8,1,2,0,12,26,3,8,1,0,0,13,46,3,16,2,0,40,143,13,47
"061455011846","0614550","1","1","11",38.03,"4",0,470,470,625,63,104,115,173,2,2,39,2,18,0,0,3,1,54,5,39,2,0,2,4,62,2,45,0,0,2,6,83,13,69,0,0,13,238,22,171
"061455011900","0614550","1","1","11",8.58,"3",70,18,88,157,30,39,55,33,0,2,14,6,7,1,0,0,0,25,4,9,1,0,0,3,36,3,13,0,0,0,0,15,6,12,0,0,5,90,19,41
"061455011911","0614550","1","1","11",20.96,"3",0,0,0,495,130,133,118,114,0,32,30,2,60,0,6,2,39,33,7,51,0,1,1,33,30,3,50,0,1,1,24,23,8,58,0,0,128,116,20,219
"061455012434","0614550","4","1","11",9.13,"3",35,1,36,39,11,2,1,2,0,0,8,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,11,4,1
"062250002728","0622500","1","1","11",135.7,"3",2372,421,2793,3481,883,911,864,823,1,42,596,197,14,28,5,6,49,612,187,19,29,9,1,52,598,179,12,19,3,0,47,535,187,18,34,2,190,2341,750,63
"062250002733","0622500","1","1","21",137.66,"3",1320,502,1822,3693,959,926,940,868,2,120,430,171,180,23,33,0,100,455,157,182,14,18,2,117,408,157,221,16,19,3,103,385,140,207,14,16,440,1678,625,790
"062250002745","0622500","1","1","11",153.73,"3",1602,428,2030,3954,1028,987,996,943,4,47,636,80,237,9,15,5,53,523,107,271,6,22,4,73,565,94,244,2,14,5,76,481,92,274,5,10,249,2205,373,1026
"062250002751","0622500","1","1","11",173.15,"3",2198,410,2608,4497,1155,1134,1172,1036,0,256,448,269,130,26,26,2,273,400,266,142,28,23,1,328,394,297,99,26,27,3,319,343,230,96,30,15,1176,1585,1062,467
"062250002753","0622500","4","1","11",8.5,"3",221,9,230,297,NA,NA,86,211,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,4,65,13,0,3,1,2,15,155,29,3,4,3,11,212,34,-5
"062250002769","0622500","1","1","11",147.3,"3",1895,368,2263,4067,1013,1051,1003,1000,3,90,565,122,210,7,16,4,101,520,149,256,6,15,2,104,488,118,264,7,20,3,120,476,116,254,8,23,415,2049,505,984
"062250005870","0622500","1","1","11",116.1,"3",2070,334,2404,2959,798,811,736,614,2,96,536,123,14,21,6,1,97,553,117,12,19,12,1,82,506,107,8,24,8,1,67,419,95,10,18,4,342,2014,442,44
"062250007299","0622500","1","1","32",33.63,"4",347,108,455,636,50,49,53,62,0,0,32,0,18,0,0,0,1,31,0,17,0,0,0,0,40,0,13,0,0,0,1,48,0,13,0,0,2,151,0,61
"062250008720","0622500","4","1","11",16.22,"3",217,56,273,500,128,127,127,118,0,7,54,42,23,1,1,0,8,61,35,19,1,3,1,6,56,37,24,1,2,2,4,48,40,19,1,4,25,219,154,85
"062250009901","0622500","1","1","13",23.42,"3",211,106,317,677,180,168,163,166,0,58,65,30,18,3,6,1,44,78,15,23,1,6,0,36,71,28,18,2,8,0,53,67,20,22,2,2,191,281,93,81
"062250010239","0622500","4","1","11",18.3,"3",556,34,590,1022,0,36,135,851,0,0,0,0,0,0,0,1,2,22,5,5,0,1,1,8,80,26,11,7,2,0,61,575,129,64,13,9,71,677,160,80
"062250011291","0622500","4","1","11",0.2,"3",5,0,5,8,0,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,1,3,4,0
"062250013001","0622500","4","1","11",15.25,"3",253,24,277,343,3,123,117,100,0,0,1,1,0,1,0,0,6,86,26,4,1,0,1,14,71,26,3,1,1,0,2,68,22,5,2,1,22,226,75,12
"062250013105","0622500","1","1","11",6.43,"3",74,22,96,204,204,0,0,0,1,18,89,21,61,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,89,21,61
"062271002112","0622710","2","1","11",20.16,"4",154,10,164,207,35,13,21,105,0,5,25,5,0,0,0,0,1,12,0,0,0,0,0,1,18,1,1,0,0,0,2,85,16,1,1,0,9,140,22,2
"062271002128","0622710","4","1","11",16.5,"3",222,9,231,297,22,73,75,127,0,0,16,6,0,0,0,0,0,51,22,0,0,0,0,0,54,20,1,0,0,0,0,100,26,1,0,0,0,221,74,2
"062271002801","0622710","4","1","11",7.5,"3",107,16,123,188,22,57,60,49,0,0,18,0,4,0,0,1,0,55,0,1,0,0,1,0,53,4,2,0,0,0,2,42,1,4,0,0,2,168,5,11
"062271002802","0622710","4","1","11",4.5,"3",82,0,82,89,29,30,14,13,0,2,23,3,1,0,0,0,0,28,2,0,0,0,0,0,10,3,1,0,0,0,1,11,1,0,0,0,3,72,9,2
"062271002806","0622710","4","1","11",6.5,"3",119,5,124,158,13,45,63,37,0,0,11,0,2,0,0,0,0,38,4,3,0,0,0,1,56,3,3,0,0,0,0,32,2,3,0,0,1,137,9,11
"062271002815","0622710","4","1","11",4,"3",59,6,65,90,14,36,24,16,1,0,10,0,3,0,0,0,1,31,0,2,0,2,1,1,16,3,3,0,0,0,0,12,1,3,0,0,2,69,4,11
"062271002830","0622710","4","1","11",4.5,"3",83,2,85,115,10,19,43,43,0,0,9,1,0,0,0,0,0,19,0,0,0,0,0,0,36,6,1,0,0,0,1,40,2,0,0,0,1,104,9,1
"062271002838","0622710","1","1","11",103.01,"3",1859,245,2104,2580,889,603,681,407,6,7,838,13,14,11,0,2,2,572,11,8,8,0,0,7,656,11,4,2,1,0,8,376,6,11,6,0,24,2442,41,37
"062271002844","0622710","1","1","21",144.51,"3",2583,304,2887,3430,955,961,845,668,0,0,936,3,16,0,0,0,1,939,1,19,1,0,1,1,820,1,21,0,1,0,1,653,2,12,0,0,3,3348,7,68
"062271002857","0622710","1","1","11",117.37,"3",2091,506,2597,3145,893,868,681,702,3,28,738,51,65,0,8,4,36,708,49,63,2,6,1,28,547,50,50,3,2,2,27,558,53,53,3,6,119,2551,203,231
"062271002890","0622710","1","1","11",70.84,"3",1182,129,1311,1661,490,466,344,360,3,12,416,22,34,3,0,2,26,401,17,20,0,0,3,18,280,21,21,1,0,0,30,282,22,25,1,0,86,1379,82,100
"062271002899","0622710","1","1","13",52.89,"3",836,178,1014,1515,552,396,300,267,3,81,333,84,20,31,0,1,84,210,63,13,25,0,1,77,157,45,6,14,0,3,83,113,47,8,13,0,325,813,239,47
"062271002908","0622710","4","1","11",26.32,"3",428,21,449,581,129,150,154,148,1,0,112,15,0,1,0,2,3,118,23,2,0,2,1,2,118,30,3,0,0,4,1,125,14,3,0,1,6,473,82,8
"062271002916","0622710","1","1","11",86.85,"3",1206,283,1489,2360,589,555,589,627,4,57,374,42,111,0,1,1,81,327,39,106,1,0,2,88,322,38,135,4,0,5,106,327,50,138,1,0,332,1350,169,490
"062271002918","0622710","4","1","11",3,"3",39,1,40,79,8,34,21,16,0,0,4,0,4,0,0,0,0,19,12,3,0,0,0,1,12,6,1,1,0,0,0,12,3,1,0,0,1,47,21,9
"062271002923","0622710","1","1","11",115.78,"3",1806,362,2168,3284,1032,875,648,729,4,134,653,57,178,5,1,4,126,582,41,121,1,0,6,153,330,29,121,6,3,1,123,430,38,135,2,0,536,1995,165,555
"062271002941","0622710","1","1","11",59.76,"3",774,40,814,1069,267,256,277,269,0,0,67,200,0,0,0,2,1,76,177,0,0,0,1,2,62,211,0,1,0,1,0,79,187,1,0,1,3,284,775,1
"062271002965","0622710","1","1","11",58.51,"3",886,44,930,1180,324,291,263,302,1,1,159,161,1,1,0,2,2,133,152,2,0,0,0,1,117,144,1,0,0,1,1,139,158,3,0,0,5,548,615,7
"062271002970","0622710","1","1","11",95.77,"3",1301,345,1646,2571,474,435,410,435,2,118,291,9,53,1,0,5,129,260,8,29,4,0,3,113,247,5,42,0,0,3,134,250,7,39,2,0,494,1048,29,163
"062271002971","0622710","4","1","13",4.5,"3",65,4,69,145,8,38,52,47,0,1,5,1,1,0,0,0,3,27,6,0,2,0,0,4,38,7,1,2,0,1,3,26,11,3,3,0,11,96,25,5
"062271002972","0622710","4","1","11",5,"3",86,7,93,122,1,11,8,102,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,7,0,1,0,0,0,0,99,0,3,0,0,0,118,0,4
"062271002976","0622710","4","1","11",3.5,"3",42,1,43,72,18,19,21,14,0,0,18,0,0,0,0,0,0,18,1,0,0,0,0,0,20,0,1,0,0,0,0,10,3,0,1,0,0,66,4,1
"062271002977","0622710","1","1","11",130.55,"3",563,258,821,3754,934,1016,907,897,6,130,279,91,413,3,12,9,152,277,90,476,10,2,7,148,248,68,429,5,2,14,141,244,68,425,5,0,571,1048,317,1743
"062271002983","0622710","1","1","21",78.5,"4",1375,89,1464,1786,227,226,121,160,2,0,224,1,0,0,0,0,1,221,0,4,0,0,0,1,118,0,1,1,0,0,0,158,0,2,0,0,2,721,1,7
"062271002984","0622710","4","1","21",5.5,"3",79,0,79,118,20,25,40,33,0,0,8,11,0,0,1,0,0,11,14,0,0,0,0,0,19,21,0,0,0,0,0,10,23,0,0,0,0,48,69,0
"062271002995","0622710","4","1","11",4.5,"3",70,3,73,105,5,32,36,32,0,0,4,0,1,0,0,0,1,29,1,1,0,0,0,0,31,4,1,0,0,1,0,30,0,1,0,0,1,94,5,4
"062271002998","0622710","1","1","11",83.33,"3",1419,251,1670,2108,569,637,498,404,1,94,314,122,37,0,1,4,108,354,118,52,1,0,2,124,257,73,41,1,0,1,97,228,47,30,1,0,423,1153,360,160
"062271003017","0622710","1","1","11",75.76,"4",1540,92,1632,1982,236,169,196,187,1,0,212,21,1,1,0,0,0,146,23,0,0,0,1,1,167,27,0,0,0,0,2,163,21,1,0,0,3,688,92,2
"062271003020","0622710","1","1","11",116.49,"3",2285,269,2554,2937,791,671,763,712,2,31,738,9,10,1,0,3,29,620,6,10,1,2,1,42,692,11,14,3,0,1,43,640,6,20,2,0,145,2690,32,54
"062271003021","0622710","1","1","11",61.75,"3",1193,146,1339,1520,472,360,416,272,1,19,440,4,8,0,0,4,22,323,3,7,0,1,5,30,371,3,5,1,1,2,30,230,7,1,2,0,101,1364,17,21
"062271003023","0622710","1","1","11",97.02,"3",1983,88,2071,2329,724,562,471,571,3,1,646,73,1,0,0,1,0,503,57,1,0,0,0,0,432,39,0,0,0,3,0,519,48,1,0,0,1,2100,217,3
"062271003029","0622710","1","1","11",69.33,"4",1527,123,1650,1874,293,250,176,128,3,10,262,9,9,0,0,0,12,227,7,3,1,0,0,14,153,5,3,1,0,0,12,110,2,2,2,0,48,752,23,17
"062271003034","0622710","1","1","11",67.67,"3",1075,121,1196,1650,527,432,346,345,3,28,364,121,5,6,0,3,20,288,111,5,5,0,0,29,232,77,5,3,0,0,22,245,75,2,0,1,99,1129,384,17
"062271003037","0622710","1","1","21",96.99,"3",1916,152,2068,2438,641,738,567,490,0,1,637,1,1,1,0,2,2,724,8,2,0,0,2,0,556,4,5,0,0,0,1,484,2,3,0,0,4,2401,15,11
"062271003050","0622710","1","1","11",158.64,"3",1322,879,2201,4273,1090,1093,1079,1011,3,315,423,39,292,2,16,0,294,448,51,274,2,24,5,259,412,38,328,1,36,2,284,369,48,291,0,17,1152,1652,176,1185
"062271003052","0622710","1","1","11",86.27,"3",1510,178,1688,2193,575,567,519,532,6,20,348,29,171,1,0,2,22,324,30,187,2,0,1,12,328,19,154,5,0,2,21,339,25,142,3,0,75,1339,103,654
"062271003055","0622710","4","1","11",8.5,"3",149,4,153,202,27,45,36,94,0,1,21,4,1,0,0,0,1,39,1,4,0,0,0,1,29,4,1,1,0,1,5,73,6,8,1,0,8,162,15,14
"062271003064","0622710","1","1","11",121.34,"3",1524,351,1875,3008,942,781,693,592,3,40,488,272,133,5,1,6,31,416,208,116,3,1,5,39,329,197,120,2,1,3,36,298,134,119,2,0,146,1531,811,488
"062271003070","0622710","4","1","11",11,"4",147,4,151,191,28,62,51,47,0,0,25,2,1,0,0,0,0,52,6,3,0,1,0,0,48,3,0,0,0,0,0,42,4,1,0,0,0,167,15,5
"062271003082","0622710","4","1","11",3.96,"3",51,6,57,83,11,17,30,25,1,0,10,0,0,0,0,0,0,17,0,0,0,0,0,0,30,0,0,0,0,0,1,21,0,3,0,0,1,78,0,3
"062271003088","0622710","1","1","11",70.51,"3",1124,162,1286,1549,474,385,374,316,4,28,336,55,50,1,0,1,23,260,44,56,1,0,2,19,267,34,52,0,0,0,35,217,26,37,1,0,105,1080,159,195
"062271003093","0622710","4","1","11",3,"3",59,1,60,97,16,16,22,43,0,0,15,1,0,0,0,0,0,14,2,0,0,0,0,0,18,4,0,0,0,0,0,38,5,0,0,0,0,85,12,0
"062271003098","0622710","1","1","21",62.25,"3",1498,112,1610,2020,757,438,441,384,2,2,745,5,3,0,0,2,1,431,3,0,0,1,0,0,439,2,0,0,0,0,0,381,2,1,0,0,3,1996,12,4
