"LEAID","NCESSCH","TYPE99","STATUS99","FTE99","FRELCH99","REDLCH99","TOTFRL99","MIGRNT99","MEMBER99","G0999","G1099","G1199","G1299","ASIAN99","HISP99","BLACK99","WHITE99","TOTETH99","PUPTCH99","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"3620580","362058001339","4","1",23.2,290,0,290,NA,401,176,122,37,46,5,241,152,2,401,17.3,"1",0,1,117,57,1,0,2,73,47,0,0,1,16,19,1,1,1,23,21,0
"3620580","362058001341","4","1",27,267,0,267,NA,404,185,125,37,24,4,273,122,5,404,15,"1",0,0,118,66,1,0,4,88,30,3,0,0,26,11,0,0,0,17,7,0
"3620580","362058001349","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3620580","362058001377","1","1",28,306,0,306,NA,632,192,135,76,32,19,263,254,91,632,22.6,"1",1,2,88,85,16,3,5,50,54,23,1,3,26,34,12,0,1,13,14,4
"3620580","362058001378","1","1",41.9,668,0,668,NA,886,406,217,121,100,17,64,797,5,886,21.1,"1",2,3,33,365,3,0,8,17,191,1,1,4,3,113,0,0,2,6,92,0
"3620580","362058001400","1","1",42.2,679,0,679,NA,945,527,200,92,81,9,91,832,12,945,22.4,"1",0,8,61,449,9,0,1,13,185,1,0,0,7,85,0,1,0,7,73,0
"3620580","362058001404","1","1",55.5,714,0,714,NA,1003,471,286,83,115,25,93,874,7,1003,18.1,"1",1,15,52,399,4,2,6,24,253,1,0,1,6,75,1,1,2,8,104,0
"3620580","362058001408","1","1",30.8,160,0,160,NA,480,175,130,92,70,28,52,394,4,480,15.6,"1",2,9,27,134,3,0,14,15,100,1,0,4,3,85,0,0,1,6,63,0
"3620580","362058001409","1","1",17,185,0,185,NA,475,194,101,86,71,14,37,414,10,475,27.9,"1",0,4,20,165,5,0,5,4,90,2,0,5,1,78,2,0,0,9,62,0
"3620580","362058001411","1","1",28.3,160,0,160,NA,576,195,163,125,68,21,48,493,13,576,20.4,"1",1,7,19,163,5,0,6,15,138,4,0,5,7,112,1,0,2,5,59,2
"3620580","362058001413","1","1",19.9,241,0,241,NA,569,222,161,92,70,11,33,520,3,569,28.6,"1",1,3,17,198,3,0,5,9,147,0,0,1,4,87,0,1,2,3,64,0
"3620580","362058001414","1","1",17,108,0,108,NA,603,80,103,82,61,98,58,431,13,603,35.5,"1",1,12,8,58,1,0,14,7,81,1,0,8,4,70,0,1,4,6,50,0
"3620580","362058001713","4","1",16,121,0,121,NA,215,66,79,30,29,2,60,134,18,215,13.4,"1",1,0,17,43,5,0,1,23,49,6,0,0,5,20,5,0,1,11,16,1
"3620580","362058001720","1","1",22.8,77,0,77,NA,304,52,57,54,38,44,66,109,84,304,13.3,"1",0,12,13,19,8,0,16,13,17,11,0,7,10,22,15,0,3,6,17,12
"3620580","362058001723","1","1",14.8,36,0,36,NA,361,69,82,67,66,12,78,124,146,361,24.4,"1",0,2,12,18,37,0,1,19,33,29,0,1,19,24,23,0,4,17,29,16
"3620580","362058001776","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3620580","362058001791","4","1",24.1,163,0,163,NA,407,148,140,40,55,11,190,119,82,407,16.9,"1",1,3,75,40,29,3,6,63,45,23,0,2,15,10,13,1,0,26,15,13
"3620580","362058001821","1","1",51.6,828,0,828,NA,1007,501,309,123,74,343,529,40,95,1007,19.5,"1",0,187,250,23,41,0,75,187,13,34,0,49,54,3,17,0,32,38,1,3
"3620580","362058001906","1","1",125.6,771,0,771,NA,2595,986,753,359,364,336,464,603,1188,2595,20.7,"1",3,109,192,249,433,0,108,118,173,354,0,64,52,49,194,0,52,57,62,193
"3620580","362058001907","1","1",166.1,1307,0,1307,NA,3328,1516,842,395,257,82,2007,1190,29,3328,20,"1",12,34,910,548,12,4,19,503,308,8,1,15,240,134,5,3,10,140,104,0
"3620580","362058001908","1","1",54.5,1003,0,1003,NA,1172,483,343,176,103,5,102,1047,12,1172,21.5,"1",2,2,50,423,6,3,1,20,317,2,1,2,8,163,2,0,0,12,90,1
"3620580","362058001909","3","1",89.3,768,0,768,NA,1430,627,338,130,189,21,887,504,14,1430,16,"1",1,9,382,228,7,1,3,228,102,4,1,0,71,56,2,1,8,124,56,0
