"LEAID","NCESSCH","TYPE01","STATUS01","FTE01","LEVEL01","FRELCH01","REDLCH01","TOTFRL01","MIGRNT01","MEMBER01","G0901","G1001","G1101","G1201","ASIAN01","HISP01","BLACK01","WHITE01","TOTETH01","PUPTCH01","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"0628050","062805004300","1","1",39.4,"3",344,19,363,0,776,344,211,137,84,63,84,619,6,774,19.7,"1",2,33,41,263,3,0,15,24,170,2,0,11,14,111,1,0,4,5,75,0
"0628050","062805004304","1","1",100.2,"3",896,51,947,8,2088,685,584,458,361,1086,351,557,86,2083,20.8,"1",3,304,144,213,20,0,297,106,154,26,0,265,59,111,22,0,220,42,79,18
"0628050","062805004305","1","1",92.7,"3",537,40,577,11,1741,617,475,391,258,366,210,1052,109,1739,18.8,"1",0,112,70,392,42,0,95,67,283,30,2,89,40,243,17,0,70,33,134,20
"0628050","062805004315","1","1",100.7,"3",447,55,502,8,2313,739,600,523,451,576,375,1068,261,2302,23,"1",11,162,148,331,81,1,142,99,287,68,6,128,71,267,51,4,144,57,183,61
"0628050","062805005632","1","1",11,"4",47,24,71,0,111,0,0,0,0,5,8,55,18,87,10.1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0628050","062805005665","4","1",5,"3",11,0,11,0,99,30,22,27,20,5,11,77,6,99,19.8,"1",0,3,3,23,1,0,0,2,17,3,0,0,2,24,1,0,2,4,13,1
"0628050","062805005701","4","1",28.6,"4",260,31,291,0,798,73,82,71,56,83,152,519,27,792,27.9,"1",1,6,17,43,5,4,4,10,59,4,1,9,12,46,2,0,8,7,36,4
"0628050","062805007326","4","1",7,"3",15,5,20,1,125,33,37,29,26,11,21,72,12,118,17.9,"1",1,3,3,21,3,1,4,4,25,2,0,3,5,14,3,0,1,9,12,4
"0628050","062805007804","4","1",6.8,"3",58,9,67,1,182,79,56,36,11,4,73,84,2,172,26.8,"1",4,2,39,29,2,3,1,19,30,0,2,1,11,19,0,0,0,4,6,0
"0628050","062805008441","1","2",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0628050","062805008676","1","3",16,"3",134,26,160,0,251,79,66,60,46,57,126,63,1,249,15.7,"1",0,16,50,13,0,0,7,38,20,1,1,19,23,16,0,1,15,15,14,0
"0634320","063432002679","4","1",29.5,"3",26,3,29,0,332,67,78,116,52,8,262,39,23,332,11.3,"1",0,2,56,6,3,0,2,59,14,3,0,0,92,12,12,0,3,42,4,3
