        Common Core of Data Public Education Agency Universe 1997-98
                                (LRECL=1030)

             (*) Fields have one implied decimal place.

	     (+) Fields represent sub-fields of the fields immediately 
	      preceding them.  (These sub-fields may not be present 
	      as fields in the SAS data files.)
                                    
**Please Note: "FIPS" stands for Federal Information Processing Standard (see State Codes
  and Abbreviations in the General Documentation)

The file contains data for school year 1997-98 sorted by the NCES assigned local
education agency identification code (LEAID).

Variable     Field	Record	     Data
 name	     length	position     type	Description

DWH12F97	5	737-741		N	DROPOUTS (WHITE-12TH-FEMALE)
DWH12U97	5	742-746		N	DROPOUTS (WHITE-12TH-UNKNOWN)
DUK12M97	5	747-751		N	DROPOUTS (UNKNOWN-12TH-MALE)
DUK12F97	5	752-756		N	DROPOUTS (UNKNOWN-12TH-FEMALE)
DUK12U97	5	757-761		N	DROPOUTS (UNKNOWN-12TH-UNKNOWN)
PKTCH97		7*	762-768		N	PREKINDERGARTEN TEACHERS
KGTCH97		7*	769-775		N	KINDERGARTEN TEACHERS
ELMTCH97	7*	776-782		N	ELEMENTARY TEACHERS
SECTCH97	7*	783-789		N	SECONDARY TEACHERS
UGTCH97		7*	790-796		N	TEACHERS OF UNGRADED CLASSES
TOTTCH97	7*	797-803		N	TOTAL FTE TEACHERS
AIDES97		7*	804-810		N	INSTRUCTIONAL AIDES
CORSUP97	7*	811-817		N	INSTRUCTIONAL COORDINATORS/SUPERVISORS
ELMGUI97	7*	818-824		N	ELEMENTARY GUIDANCE COUNSELORS
SECGUI97	7*	825-831		N	SECONDARY GUIDANCE COUNSELORS
TOTGUI97	7*	832-838		N	TOTAL GUIDANCE
LIBSPE97	7*	839-845		N	LIBRARIANS/MEDIA SPECIALISTS
LIBSUP97	7*	846-852		N	LIBRARY MEDIA SUPPORT STAFF
LEAADM97	7*	853-859		N	LEA ADMINISTRATORS
LEASUP97	7*	860-866		N	LEA ADMINISTRATORS SUPPORT STAFF
SCHADM97	7*	867-873		N	SCHOOL ADMINISTRATORS
SCHSUP97	7*	874-880		N	SCHOOL ADMINISTRATORS SUPPORT STAFF
STUSUP97	7*	881-887		N	STUDENT SUPPORT SERVICES STAFF
OTHSUP97	7*	888-894		N	ALL OTHER SUPPORT STAFF
IUG97		1	895-895		A	UNGRADED STUDENTS ADJ FLAG
IPK1297		1	896-896		A	PK THRU 12 ADJ FLAG
IMEMB97		1	897-897		A	STUDENTS ADJ FLAG
ISPEC97		1	898-898		A	SPECIAL ED IEP STUDENTS ADJ FLAG
IREGD97		1	899-899		A	REGULAR GRADUATES ADJ FLAG
IOTHD97		1	900-900		A	OTHER DIPLOMA GRADUATES ADJ FLAG
IOTHC97		1	901-901		A	OTHER HS COMPLETERS ADJ FLAG
IAM7M97		1	902-902		A	D/O AMER IND/ALAS NAT-7TH-MALE ADJ FLAG
IAM7F97		1	903-903		A	D/O AMER IND/ALAS NAT-7TH-FEM ADJ FLAG
IAM7U97		1	904-904		A	D/O AMER IND/ALAS NAT-7TH-UNKN ADJ FLAG
IAS7M97		1	905-905		A	D/O ASIAN/PAC ISL-7TH-MALE ADJ FLAG
IAS7F97		1	906-906		A	D/O ASIAN/PAC ISL-7TH-FEM ADJ FLAG
IAS7U97		1	907-907		A	D/O ASIAN/PAC ISL-7TH-UNKN ADJ FLAG
IHI7M97		1	908-908		A	D/O HISPANIC-7TH-MALE ADJ FLAG
IHI7F97		1	909-909		A	D/O HISPANIC-7TH-FEM ADJ FLAG
IHI7U97		1	910-910		A	D/O HISPANIC-7TH-UNKN ADJ FLAG
IBL7M97		1	911-911		A	D/O BLACK-7TH-MALE ADJ FLAG
IBL7F97		1	912-912		A	D/O BLACK-7TH-FEM ADJ FLAG
IBL7U97		1	913-913		A	D/O BLACK-7TH-UNKN ADJ FLAG
IWH7M97		1	914-914		A	D/O WHITE-7TH-MALE ADJ FLAG
IWH7F97		1	915-915		A	D/O WHITE-7TH-FEM ADJ FLAG
IWH7U97		1	916-916		A	D/O WHITE-7TH-UNKN ADJ FLAG
IUK7M97		1	917-917		A	D/O UNKN RACE-7TH-MALE ADJ FLAG
IUK7F97		1	918-918		A	D/O UNKN RACE-7TH-FEM ADJ FLAG
IUK7U97		1	919-919		A	D/O UNKN RACE-7TH-UNKN SEX ADJ FLAG
IAM8M97		1	920-920		A	D/O AMER IND/ALAS NAT-8TH-MALE ADJ FLAG
IAM8F97		1	921-921		A	D/O AMER IND/ALAS NAT-8TH-FEM ADJ FLAG
IAM8U97		1	922-922		A	D/O AMER IND/ALAS NAT-8TH-UNKN ADJ FLAG
IAS8M97		1	923-923		A	D/O ASIAN/PAC ISL-8TH-MALE ADJ FLAG
IAS8F97		1	924-924		A	D/O ASIAN/PAC ISL-8TH-FEM ADJ FLAG
IAS8U97		1	925-925		A	D/O ASIAN/PAC ISL-8TH-UNKN ADJ FLAG
IHI8M97		1	926-926		A	D/O HISPANIC-8TH-MALE ADJ FLAG
IHI8F97		1	927-927		A	D/O HISPANIC-8TH-FEM ADJ FLAG
IHI8U97		1	928-928		A	D/O HISPANIC-8TH-UNKN ADJ FLAG
IBL8M97		1	929-929		A	D/O BLACK-8TH-MALE ADJ FLAG
IBL8F97		1	930-930		A	D/O BLACK-8TH-FEM ADJ FLAG
IBL8U97		1	931-931		A	D/O BLACK-8TH-UNKN ADJ FLAG
IWH8M97		1	932-932		A	D/O WHITE-8TH-MALE ADJ FLAG
IWH8F97		1	933-933		A	D/O WHITE-8TH-FEM ADJ FLAG
IWH8U97		1	934-934		A	D/O WHITE-8TH-UNKN ADJ FLAG
IUK8M97		1	935-935		A	D/O UNKN RACE-8TH-MALE ADJ FLAG
IUK8F97		1	936-936		A	D/O UNKN RACE-8TH-FEM ADJ FLAG
IUK8U97		1	937-937		A	D/O UNKN RACE-8TH-SEX UNKN ADJ FLAG
IAM9M97		1	938-938		A	D/O AMER IND/ALAS NAT-9TH-MALE ADJ FLAG
IAM9F97		1	939-939		A	D/O AMER IND/ALAS NAT-9TH-FEM ADJ FLAG
IAM9U97		1	940-940		A	D/O AMER IND/ALAS NAT-9TH-UNKN ADJ FLAG
IAS9M97		1	941-941		A	D/O ASIAN/PAC ISL-9TH-MALE ADJ FLAG
IAS9F97		1	942-942		A	D/O ASIAN/PAC ISL-9TH-FEM ADJ FLAG
IAS9U97		1	943-943		A	D/O ASIAN/PAC ISL-9TH-UNKN ADJ FLAG
IHI9M97		1	944-944		A	D/O HISPANIC-9TH-MALE ADJ FLAG
IHI9F97		1	945-945		A	D/O HISPANIC-9TH-FEM ADJ FLAG
IHI9U97		1	946-946		A	D/O HISPANIC-9TH-UNKN ADJ FLAG
IBL9M97		1	947-947		A	D/O BLACK-9TH-MALE ADJ FLAG
IBL9F97		1	948-948		A	D/O BLACK-9TH-FEM ADJ FLAG
IBL9U97		1	949-949		A	D/O BLACK-9TH-UNKN ADJ FLAG
IWH9M97		1	950-950		A	D/O WHITE-9TH-MALE ADJ FLAG
IWH9F97		1	951-951		A	D/O WHITE-9TH-FEM ADJ FLAG
